"company_code","request_number","request_user_id","work_type_kbn","scheduled_work_day","work_time_kbn","dayoff_exchanged","dayoff_time_kbn","dayoff_reason_kbn","remark","registration_user","registration_datetime","update_user","update_datetime"
"000001","20240314125945766000001238","238","023","20240316","010","20240321","010","002","4.2次リリース作業","238","2024-03-14 12:59:46","238","2024-03-14 12:59:46"
"000001","20240314130040867000001219","219","023","20240316","010","20240306","010","002","","219","2024-03-14 13:02:55","219","2024-03-14 13:02:55"
"000001","20240314130127501000001238","238","023","20240320","010","20240405","010","002","4.1に復旧作業イレギュラー対応","238","2024-03-19 19:44:29","238","2024-03-19 19:44:29"
"000001","20240316085808820000001222","222","023","20240316","010","20240524","010","002",DX　結合テストのため,"222","2024-03-16 08:58:08","222","2024-03-16 08:58:08"
"000001","20240319191917335000001219","219","023","20240320","010","20240401","010","002",仮20250503⇒正20240401,"219","2024-03-19 19:21:56",SystemAdmin_Cho,"2024-05-09 09:48:57"
"000001","20240320124746951000001228","228","023","20240320","010","20240408","010","002",追いつき作業,"228","2024-03-20 12:47:48","228","2024-03-20 12:47:48"
"000001","20240322084858719000001121","121","023","20240323","010","20240502","010","002",仮登録（To be determined）,"121","2024-03-22 08:48:57",SystemAdmin_Cho,"2024-04-30 08:48:57"
"000001","20240322094253722000001182","182","023","20240316","010","20240430","010","001","","182","2024-03-22 09:42:53","182","2024-03-22 09:42:53"
"000001","20240322094259102000001182","182","023","20240320","010","20240501","010","001","","182","2024-03-25 13:09:42","182","2024-03-25 13:09:42"
"000001","20240323094518029000001219","219","023","20240323","010","20240423","010","002",仮20260312⇒正20240423,"219","2024-03-23 09:48:57",SystemAdmin_Cho,"2024-05-09 09:48:57"
"000001","20240324092006562000001228","228","023","20240323","020","20240709","020","002",振替休日予定は仮です。（8/2→7/9）,"228","2024-07-08 09:20:10",SysAdmin_ChoYo,"2024-03-24 09:20:10"
"000001","20240325091450793000001238","238","023","20240323","010","20240520","010","002","4.2次リリース作業","238","2024-03-25 09:14:50","238","2024-03-25 09:14:50"
"000001","20240325195842257000001228","228","023","20240324","020","20240724","020","002",振替休日予定は仮です。（8/26→7/24）,"228","2024-03-25 19:58:45",SysAdmin_ChoYo,"2024-03-25 19:58:45"
"000001","20240329093200754000001232","232","023","20240316","010","20240430","010","002","","232","2024-03-29 09:32:01","232","2024-03-29 09:32:01"
"000001","20240329142403377000001152","152","023","20240303","010","20240430","010","003","","152","2024-03-29 14:24:03","152","2024-03-29 14:24:03"
"000001","20240329173050661000001175","175","023","20240316","021","20240327","021","002","","175","2024-03-29 17:30:52","175","2024-03-29 17:30:52"
"000001","20240329173131124000001175","175","023","20240320","020","20240327","020","002","","175","2024-03-29 17:31:32","175","2024-03-29 17:31:32"
"000001","20240329173232100000001175","175","023","20240323","010","20240402","010","002","","175","2024-03-29 17:32:33","175","2024-03-29 17:32:33"
"000001","20240329173613170000001175","175","023","20240324","020","20240405","021","002","","175","2024-03-29 17:36:15","175","2024-03-29 17:36:15"
"000001","20240401102411454000001207","207","023","20240316","010","20240329","010","001","","207","2024-04-01 10:24:11","207","2024-04-01 10:24:11"
"000001","20240402115658220000001206","206","023","20240316","010","20240408","010","002",DX匠アプリテストの為出勤,"206","2024-04-02 11:56:58","206","2024-04-02 11:56:58"
"000001","20240403094302994000001245","245","023","20240309","010","20240328","010","003","","245","2024-04-03 09:58:38","245","2024-04-03 09:58:38"
"000001","20240403094437875000001245","245","023","20240316","010","20240329","010","003","","245","2024-04-03 09:58:14","245","2024-04-03 09:58:14"
"000001","20240408130817738000001222","222","023","20240406","010","20240712","010","002",匠アプリ　android側が審査エラーとなったため。,"222","2024-04-08 13:08:10","222","2024-04-08 13:08:10"
"000001","20240408141911397000001207","207","023","20240406","010","20240513","010","001","","207","2024-04-08 14:19:11","207","2024-04-08 14:19:11"
"000001","20240423094637188000001218","218","023","20240331","021","20240415","021","002","","218","2024-04-23 09:50:16","218","2024-04-23 09:50:16"
"000001","20240425101727001000001238","238","023","20240503","010","20240502","010","099","5/3出勤、5/2に私用のため休みさせて頂きます。","238","2024-04-25 10:36:11",SystemAdmin_Cho,"2024-05-07 10:36:11"
"000001","20240428234217879000001234","234","023","20240428","010","20240603","010","001","","234","2024-04-28 23:42:16","234","2024-04-28 23:42:16"
"000001","20240428234308394000001234","234","023","20240429","010","20240604","010","001","","234","2024-04-28 23:43:06","234","2024-04-28 23:43:06"
"000001","20240430202316082000001224","224","023","20240420","010","20240426","010","002","","224","2024-04-30 20:23:16","224","2024-04-30 20:23:16"
"000001","20240502115306202000001234","234","023","20240503","010","20240605","010","001","","234","2024-05-02 11:53:04","234","2024-05-02 11:53:04"
"000001","20240511175550197000001234","234","023","20240511","010","20240514","010","002","","234","2024-05-11 17:55:49","234","2024-05-11 17:55:49"
"000001","20240520092141060000001219","219","023","20240518","010","20240514","010","001",振休日を7/1⇒5/14へ変更（By.Cho）,"219","2024-05-20 09:25:30",sysAdmin_Choyo,"2024-06-10 09:25:30"
"000001","20240526180757938000001130","130","023","20240518","010","20240531","010","002","20240531はテスト環境のリフレッシュ予定がありますので、滋賀銀行作業（品質向上テスト）の進捗を進めて出来るため、20240518で振替出勤しており。","130","2024-05-26 19:11:57","130","2024-05-26 19:11:57"
"000001","20240603152857308000001243","243","023","20240511","021","20240528","021","099","","243","2024-06-03 15:29:46","243","2024-06-03 15:29:46"
"000001","20240610120113109000001219","219","023","20240615","010","20240603","010","001","","219","2024-06-10 12:01:13",SysAdmin_Cho,"2024-06-25 12:01:13"
"000001","20240628153504382000001234","234","023","20240615","010","20240625","010","002","","234","2024-06-28 15:40:04","234","2024-06-28 15:40:04"
"000001","20240628175944837000001207","207","023","20240629","010","20240708","010","002","","207","2024-06-28 17:59:44","207","2024-06-28 17:59:44"
"000001","20240729113842589000001231","231","023","20240727","010","20240917","010","003","","231","2024-07-29 11:38:42","231","2024-07-29 11:38:42"
"000001","20240801091359648000001207","207","023","20240727","010","20240813","010","002","","207","2024-08-01 09:15:19","207","2024-08-01 09:15:19"
